,Время,"Координаты Египта (широта, долгота)",Радиационное воздействие аэрозолей с излучением,Радиационное воздействие метана
0,2003-01-16 00:00:00,"30.00, 27.00",0.5607831478118896,0.3434536755084991
1,2003-01-16 00:00:00,"30.00, 30.00",0.7118185758590698,0.351155936717987
2,2003-01-16 00:00:00,"30.00, 33.00",0.5482433438301086,0.3315045833587646
3,2003-01-16 00:00:00,"27.00, 27.00",0.6181119084358215,0.3854084610939026
4,2003-01-16 00:00:00,"27.00, 30.00",0.8086882829666138,0.3989730477333069
5,2003-01-16 00:00:00,"27.00, 33.00",0.5700269937515259,0.4021685123443603
6,2003-01-16 00:00:00,"24.00, 27.00",0.5606679320335388,0.4542305171489715
7,2003-01-16 00:00:00,"24.00, 30.00",0.80419921875,0.419398158788681
8,2003-01-16 00:00:00,"24.00, 33.00",0.664832353591919,0.391993373632431
9,2003-01-16 00:00:00,"30.00, 27.00",-2.296186923980713,-0.1005022600293159
10,2003-01-16 00:00:00,"30.00, 30.00",-2.4008684158325195,-0.1033204570412635
11,2003-01-16 00:00:00,"30.00, 33.00",-2.457648754119873,-0.0963978916406631
12,2003-01-16 00:00:00,"27.00, 27.00",-2.169731616973877,-0.0983463376760482
13,2003-01-16 00:00:00,"27.00, 30.00",-2.6162097454071045,-0.1017025336623191
14,2003-01-16 00:00:00,"27.00, 33.00",-3.1357216835021973,-0.1413281410932541
15,2003-01-16 00:00:00,"24.00, 27.00",-1.912980318069458,-0.1164280027151107
16,2003-01-16 00:00:00,"24.00, 30.00",-3.051607131958008,-0.1193527728319168
17,2003-01-16 00:00:00,"24.00, 33.00",-3.385272741317749,-0.1365885585546493
18,2003-02-16 00:00:00,"30.00, 27.00",0.4722867608070373,0.3197185099124908
19,2003-02-16 00:00:00,"30.00, 30.00",0.4839313924312591,0.3291255533695221
20,2003-02-16 00:00:00,"30.00, 33.00",0.6086621880531311,0.3094940185546875
21,2003-02-16 00:00:00,"27.00, 27.00",0.5617424845695496,0.3827694356441498
22,2003-02-16 00:00:00,"27.00, 30.00",0.5094195604324341,0.4034886956214905
23,2003-02-16 00:00:00,"27.00, 33.00",0.5018855333328247,0.4289469122886657
24,2003-02-16 00:00:00,"24.00, 27.00",0.3796926140785217,0.4466569125652313
25,2003-02-16 00:00:00,"24.00, 30.00",0.5432499647140503,0.4487201273441314
26,2003-02-16 00:00:00,"24.00, 33.00",0.5131623148918152,0.4651723504066467
27,2003-02-16 00:00:00,"30.00, 27.00",-2.643784761428833,-0.1143109425902366
28,2003-02-16 00:00:00,"30.00, 30.00",-2.80680251121521,-0.1184490770101547
29,2003-02-16 00:00:00,"30.00, 33.00",-3.345365047454834,-0.1086248680949211
30,2003-02-16 00:00:00,"27.00, 27.00",-2.429704189300537,-0.1159771531820297
31,2003-02-16 00:00:00,"27.00, 30.00",-2.26612401008606,-0.1190071105957031
32,2003-02-16 00:00:00,"27.00, 33.00",-3.276486158370972,-0.1656810194253921
33,2003-02-16 00:00:00,"24.00, 27.00",-1.7607839107513428,-0.133603498339653
34,2003-02-16 00:00:00,"24.00, 30.00",-2.7166671752929688,-0.1421653181314468
35,2003-02-16 00:00:00,"24.00, 33.00",-3.282569408416748,-0.1674984544515609
36,2003-03-16 00:00:00,"30.00, 27.00",1.1300954818725586,0.3135878145694732
37,2003-03-16 00:00:00,"30.00, 30.00",0.9544008374214172,0.3198478519916534
38,2003-03-16 00:00:00,"30.00, 33.00",0.7850066423416138,0.3099207580089569
39,2003-03-16 00:00:00,"27.00, 27.00",0.8244658708572388,0.3984000980854034
40,2003-03-16 00:00:00,"27.00, 30.00",1.0561808347702026,0.4161396622657776
41,2003-03-16 00:00:00,"27.00, 33.00",0.871971845626831,0.4368463456630707
42,2003-03-16 00:00:00,"24.00, 27.00",0.6122111678123474,0.4710555672645569
43,2003-03-16 00:00:00,"24.00, 30.00",0.8011356592178345,0.466888427734375
44,2003-03-16 00:00:00,"24.00, 33.00",0.7594466805458069,0.4922249019145965
45,2003-03-16 00:00:00,"30.00, 27.00",-4.6614837646484375,-0.1276737302541732
46,2003-03-16 00:00:00,"30.00, 30.00",-4.557461261749268,-0.13410285115242
47,2003-03-16 00:00:00,"30.00, 33.00",-4.279326915740967,-0.1269208788871765
48,2003-03-16 00:00:00,"27.00, 27.00",-3.4515230655670166,-0.1381535679101944
49,2003-03-16 00:00:00,"27.00, 30.00",-3.854074716567993,-0.1398015171289444
50,2003-03-16 00:00:00,"27.00, 33.00",-5.044982433319092,-0.1892961114645004
51,2003-03-16 00:00:00,"24.00, 27.00",-2.6274423599243164,-0.1528738737106323
52,2003-03-16 00:00:00,"24.00, 30.00",-3.623462915420532,-0.1600140035152435
53,2003-03-16 00:00:00,"24.00, 33.00",-4.769234657287598,-0.1901446878910064
54,2003-04-16 00:00:00,"30.00, 27.00",0.6383951902389526,0.3521830141544342
55,2003-04-16 00:00:00,"30.00, 30.00",0.9882029294967652,0.3758178651332855
56,2003-04-16 00:00:00,"30.00, 33.00",0.8433929681777954,0.3785329163074493
57,2003-04-16 00:00:00,"27.00, 27.00",0.6712676882743835,0.4293884336948395
58,2003-04-16 00:00:00,"27.00, 30.00",1.0859700441360474,0.4755076169967651
59,2003-04-16 00:00:00,"27.00, 33.00",0.8732696771621704,0.4808512330055237
60,2003-04-16 00:00:00,"24.00, 27.00",0.461477667093277,0.4855234920978546
