,Время,"Координаты Египта (широта, долгота)",Радиационное воздействие аэрозолей с излучением
0,2003-01-16 00:00:00,"30.00, 27.00",0.5607831478118896
1,2003-01-16 00:00:00,"30.00, 30.00",0.7118185758590698
2,2003-01-16 00:00:00,"30.00, 33.00",0.5482433438301086
3,2003-01-16 00:00:00,"27.00, 27.00",0.6181119084358215
4,2003-01-16 00:00:00,"27.00, 30.00",0.8086882829666138
5,2003-01-16 00:00:00,"27.00, 33.00",0.5700269937515259
6,2003-01-16 00:00:00,"24.00, 27.00",0.5606679320335388
7,2003-01-16 00:00:00,"24.00, 30.00",0.80419921875
8,2003-01-16 00:00:00,"24.00, 33.00",0.664832353591919
9,2003-01-16 00:00:00,"30.00, 27.00",-2.296186923980713
10,2003-01-16 00:00:00,"30.00, 30.00",-2.4008684158325195
11,2003-01-16 00:00:00,"30.00, 33.00",-2.457648754119873
12,2003-01-16 00:00:00,"27.00, 27.00",-2.169731616973877
13,2003-01-16 00:00:00,"27.00, 30.00",-2.6162097454071045
14,2003-01-16 00:00:00,"27.00, 33.00",-3.1357216835021973
15,2003-01-16 00:00:00,"24.00, 27.00",-1.912980318069458
16,2003-01-16 00:00:00,"24.00, 30.00",-3.051607131958008
17,2003-01-16 00:00:00,"24.00, 33.00",-3.385272741317749
18,2003-02-16 00:00:00,"30.00, 27.00",0.47228676080703735
19,2003-02-16 00:00:00,"30.00, 30.00",0.48393139243125916
20,2003-02-16 00:00:00,"30.00, 33.00",0.6086621880531311
21,2003-02-16 00:00:00,"27.00, 27.00",0.5617424845695496
22,2003-02-16 00:00:00,"27.00, 30.00",0.5094195604324341
23,2003-02-16 00:00:00,"27.00, 33.00",0.5018855333328247
24,2003-02-16 00:00:00,"24.00, 27.00",0.37969261407852173
25,2003-02-16 00:00:00,"24.00, 30.00",0.5432499647140503
26,2003-02-16 00:00:00,"24.00, 33.00",0.5131623148918152
27,2003-02-16 00:00:00,"30.00, 27.00",-2.643784761428833
28,2003-02-16 00:00:00,"30.00, 30.00",-2.80680251121521
29,2003-02-16 00:00:00,"30.00, 33.00",-3.345365047454834
30,2003-02-16 00:00:00,"27.00, 27.00",-2.429704189300537
31,2003-02-16 00:00:00,"27.00, 30.00",-2.2661240100860596
32,2003-02-16 00:00:00,"27.00, 33.00",-3.2764861583709717
33,2003-02-16 00:00:00,"24.00, 27.00",-1.7607839107513428
34,2003-02-16 00:00:00,"24.00, 30.00",-2.7166671752929688
35,2003-02-16 00:00:00,"24.00, 33.00",-3.282569408416748
36,2003-03-16 00:00:00,"30.00, 27.00",1.1300954818725586
37,2003-03-16 00:00:00,"30.00, 30.00",0.9544008374214172
38,2003-03-16 00:00:00,"30.00, 33.00",0.7850066423416138
39,2003-03-16 00:00:00,"27.00, 27.00",0.8244658708572388
40,2003-03-16 00:00:00,"27.00, 30.00",1.0561808347702026
41,2003-03-16 00:00:00,"27.00, 33.00",0.871971845626831
42,2003-03-16 00:00:00,"24.00, 27.00",0.6122111678123474
43,2003-03-16 00:00:00,"24.00, 30.00",0.8011356592178345
44,2003-03-16 00:00:00,"24.00, 33.00",0.7594466805458069
45,2003-03-16 00:00:00,"30.00, 27.00",-4.6614837646484375
46,2003-03-16 00:00:00,"30.00, 30.00",-4.557461261749268
47,2003-03-16 00:00:00,"30.00, 33.00",-4.279326915740967
48,2003-03-16 00:00:00,"27.00, 27.00",-3.4515230655670166
49,2003-03-16 00:00:00,"27.00, 30.00",-3.854074716567993
50,2003-03-16 00:00:00,"27.00, 33.00",-5.044982433319092
51,2003-03-16 00:00:00,"24.00, 27.00",-2.6274423599243164
52,2003-03-16 00:00:00,"24.00, 30.00",-3.6234629154205322
53,2003-03-16 00:00:00,"24.00, 33.00",-4.769234657287598
54,2003-04-16 00:00:00,"30.00, 27.00",0.6383951902389526
55,2003-04-16 00:00:00,"30.00, 30.00",0.9882029294967651
56,2003-04-16 00:00:00,"30.00, 33.00",0.8433929681777954
57,2003-04-16 00:00:00,"27.00, 27.00",0.6712676882743835
58,2003-04-16 00:00:00,"27.00, 30.00",1.0859700441360474
59,2003-04-16 00:00:00,"27.00, 33.00",0.8732696771621704
60,2003-04-16 00:00:00,"24.00, 27.00",0.461477667093277
61,2003-04-16 00:00:00,"24.00, 30.00",0.7602874636650085
62,2003-04-16 00:00:00,"24.00, 33.00",0.8382791876792908
63,2003-04-16 00:00:00,"30.00, 27.00",-4.406997203826904
64,2003-04-16 00:00:00,"30.00, 30.00",-6.149062633514404
65,2003-04-16 00:00:00,"30.00, 33.00",-5.028815746307373
66,2003-04-16 00:00:00,"27.00, 27.00",-3.901690721511841
67,2003-04-16 00:00:00,"27.00, 30.00",-4.9613261222839355
68,2003-04-16 00:00:00,"27.00, 33.00",-5.5423502922058105
69,2003-04-16 00:00:00,"24.00, 27.00",-2.8723063468933105
70,2003-04-16 00:00:00,"24.00, 30.00",-4.482321739196777
71,2003-04-16 00:00:00,"24.00, 33.00",-6.077778339385986
72,2003-05-16 00:00:00,"30.00, 27.00",0.8441240787506104
73,2003-05-16 00:00:00,"30.00, 30.00",0.9870526790618896
74,2003-05-16 00:00:00,"30.00, 33.00",1.0911500453948975
75,2003-05-16 00:00:00,"27.00, 27.00",0.7484859228134155
76,2003-05-16 00:00:00,"27.00, 30.00",0.810509443283081
77,2003-05-16 00:00:00,"27.00, 33.00",0.6578802466392517
78,2003-05-16 00:00:00,"24.00, 27.00",0.4803043603897095
79,2003-05-16 00:00:00,"24.00, 30.00",0.6452203392982483
80,2003-05-16 00:00:00,"24.00, 33.00",0.5408197045326233
81,2003-05-16 00:00:00,"30.00, 27.00",-5.015921592712402
82,2003-05-16 00:00:00,"30.00, 30.00",-5.522634029388428
83,2003-05-16 00:00:00,"30.00, 33.00",-5.118795871734619
84,2003-05-16 00:00:00,"27.00, 27.00",-4.115695476531982
85,2003-05-16 00:00:00,"27.00, 30.00",-4.279327392578125
86,2003-05-16 00:00:00,"27.00, 33.00",-4.950656890869141
87,2003-05-16 00:00:00,"24.00, 27.00",-2.4739935398101807
88,2003-05-16 00:00:00,"24.00, 30.00",-3.4264845848083496
89,2003-05-16 00:00:00,"24.00, 33.00",-3.9101641178131104
90,2003-06-16 00:00:00,"30.00, 27.00",1.309289574623108
91,2003-06-16 00:00:00,"30.00, 30.00",1.371984839439392
92,2003-06-16 00:00:00,"30.00, 33.00",1.1471130847930908
93,2003-06-16 00:00:00,"27.00, 27.00",1.3184845447540283
94,2003-06-16 00:00:00,"27.00, 30.00",1.6053935289382935
95,2003-06-16 00:00:00,"27.00, 33.00",1.1461893320083618
96,2003-06-16 00:00:00,"24.00, 27.00",1.0032379627227783
97,2003-06-16 00:00:00,"24.00, 30.00",1.3831634521484375
98,2003-06-16 00:00:00,"24.00, 33.00",1.2688984870910645
99,2003-06-16 00:00:00,"30.00, 27.00",-7.356237888336182
100,2003-06-16 00:00:00,"30.00, 30.00",-7.977113246917725
101,2003-06-16 00:00:00,"30.00, 33.00",-6.377883434295654
102,2003-06-16 00:00:00,"27.00, 27.00",-6.24293327331543
103,2003-06-16 00:00:00,"27.00, 30.00",-7.618429183959961
104,2003-06-16 00:00:00,"27.00, 33.00",-7.725035667419434
105,2003-06-16 00:00:00,"24.00, 27.00",-4.74614953994751
106,2003-06-16 00:00:00,"24.00, 30.00",-7.184232234954834
107,2003-06-16 00:00:00,"24.00, 33.00",-8.161453247070312
108,2003-07-16 00:00:00,"30.00, 27.00",1.2177202701568604
109,2003-07-16 00:00:00,"30.00, 30.00",1.237870693206787
110,2003-07-16 00:00:00,"30.00, 33.00",1.2857764959335327
111,2003-07-16 00:00:00,"27.00, 27.00",1.2591562271118164
112,2003-07-16 00:00:00,"27.00, 30.00",1.4589085578918457
113,2003-07-16 00:00:00,"27.00, 33.00",1.3547412157058716
114,2003-07-16 00:00:00,"24.00, 27.00",0.9520657658576965
115,2003-07-16 00:00:00,"24.00, 30.00",1.2171119451522827
116,2003-07-16 00:00:00,"24.00, 33.00",1.4260843992233276
117,2003-07-16 00:00:00,"30.00, 27.00",-6.412883758544922
118,2003-07-16 00:00:00,"30.00, 30.00",-7.298089027404785
119,2003-07-16 00:00:00,"30.00, 33.00",-7.317385673522949
120,2003-07-16 00:00:00,"27.00, 27.00",-6.141031265258789
121,2003-07-16 00:00:00,"27.00, 30.00",-6.892117023468018
122,2003-07-16 00:00:00,"27.00, 33.00",-9.951239585876465
123,2003-07-16 00:00:00,"24.00, 27.00",-4.765868186950684
124,2003-07-16 00:00:00,"24.00, 30.00",-6.409267425537109
125,2003-07-16 00:00:00,"24.00, 33.00",-9.547224998474121
126,2003-08-16 00:00:00,"30.00, 27.00",1.0848575830459595
127,2003-08-16 00:00:00,"30.00, 30.00",1.0451650619506836
128,2003-08-16 00:00:00,"30.00, 33.00",1.062394618988037
129,2003-08-16 00:00:00,"27.00, 27.00",1.0402004718780518
130,2003-08-16 00:00:00,"27.00, 30.00",1.2138465642929077
131,2003-08-16 00:00:00,"27.00, 33.00",1.1469765901565552
132,2003-08-16 00:00:00,"24.00, 27.00",0.8137847185134888
133,2003-08-16 00:00:00,"24.00, 30.00",1.017608642578125
134,2003-08-16 00:00:00,"24.00, 33.00",1.2186200618743896
135,2003-08-16 00:00:00,"30.00, 27.00",-5.581193447113037
136,2003-08-16 00:00:00,"30.00, 30.00",-6.50307035446167
137,2003-08-16 00:00:00,"30.00, 33.00",-6.191457271575928
138,2003-08-16 00:00:00,"27.00, 27.00",-4.862371921539307
139,2003-08-16 00:00:00,"27.00, 30.00",-5.443455696105957
140,2003-08-16 00:00:00,"27.00, 33.00",-7.625909328460693
141,2003-08-16 00:00:00,"24.00, 27.00",-3.611809015274048
142,2003-08-16 00:00:00,"24.00, 30.00",-4.851864814758301
143,2003-08-16 00:00:00,"24.00, 33.00",-7.269360065460205
144,2003-09-16 00:00:00,"30.00, 27.00",0.6546162962913513
145,2003-09-16 00:00:00,"30.00, 30.00",0.6644510626792908
146,2003-09-16 00:00:00,"30.00, 33.00",0.647106945514679
147,2003-09-16 00:00:00,"27.00, 27.00",0.6578989624977112
148,2003-09-16 00:00:00,"27.00, 30.00",0.7704528570175171
149,2003-09-16 00:00:00,"27.00, 33.00",0.7571980953216553
150,2003-09-16 00:00:00,"24.00, 27.00",0.578784167766571
151,2003-09-16 00:00:00,"24.00, 30.00",0.8261830806732178
152,2003-09-16 00:00:00,"24.00, 33.00",1.018426537513733
153,2003-09-16 00:00:00,"30.00, 27.00",-3.4089741706848145
154,2003-09-16 00:00:00,"30.00, 30.00",-3.8698008060455322
155,2003-09-16 00:00:00,"30.00, 33.00",-3.8085103034973145
156,2003-09-16 00:00:00,"27.00, 27.00",-2.8466639518737793
157,2003-09-16 00:00:00,"27.00, 30.00",-3.507493019104004
158,2003-09-16 00:00:00,"27.00, 33.00",-4.967553615570068
159,2003-09-16 00:00:00,"24.00, 27.00",-2.435992479324341
160,2003-09-16 00:00:00,"24.00, 30.00",-3.865356922149658
161,2003-09-16 00:00:00,"24.00, 33.00",-5.965544700622559
162,2003-10-16 00:00:00,"30.00, 27.00",0.7404696345329285
163,2003-10-16 00:00:00,"30.00, 30.00",0.803534746170044
164,2003-10-16 00:00:00,"30.00, 33.00",0.7545382380485535
165,2003-10-16 00:00:00,"27.00, 27.00",0.9012264013290405
166,2003-10-16 00:00:00,"27.00, 30.00",1.1072672605514526
167,2003-10-16 00:00:00,"27.00, 33.00",0.8760936856269836
168,2003-10-16 00:00:00,"24.00, 27.00",0.7396427392959595
169,2003-10-16 00:00:00,"24.00, 30.00",1.0931121110916138
170,2003-10-16 00:00:00,"24.00, 33.00",1.111107587814331
171,2003-10-16 00:00:00,"30.00, 27.00",-3.6009793281555176
172,2003-10-16 00:00:00,"30.00, 30.00",-4.300981521606445
173,2003-10-16 00:00:00,"30.00, 33.00",-3.657149076461792
174,2003-10-16 00:00:00,"27.00, 27.00",-3.541382074356079
175,2003-10-16 00:00:00,"27.00, 30.00",-4.502813339233398
176,2003-10-16 00:00:00,"27.00, 33.00",-4.82548713684082
177,2003-10-16 00:00:00,"24.00, 27.00",-2.824605703353882
178,2003-10-16 00:00:00,"24.00, 30.00",-4.609283924102783
179,2003-10-16 00:00:00,"24.00, 33.00",-5.586679458618164
180,2003-11-16 00:00:00,"30.00, 27.00",0.5842030644416809
181,2003-11-16 00:00:00,"30.00, 30.00",0.6291086673736572
182,2003-11-16 00:00:00,"30.00, 33.00",0.7186869382858276
183,2003-11-16 00:00:00,"27.00, 27.00",0.7296539545059204
184,2003-11-16 00:00:00,"27.00, 30.00",0.9228902459144592
185,2003-11-16 00:00:00,"27.00, 33.00",0.7043691277503967
186,2003-11-16 00:00:00,"24.00, 27.00",0.5548288822174072
