,Время,"Координаты Египта (широта, долгота)",Радиационное воздействие углекислого газа
0,2003-01-16 00:00:00,"30.00, 27.00",1.089068055152893
1,2003-01-16 00:00:00,"30.00, 30.00",1.1311419010162354
2,2003-01-16 00:00:00,"30.00, 33.00",1.078352451324463
3,2003-01-16 00:00:00,"27.00, 27.00",1.1963156461715698
4,2003-01-16 00:00:00,"27.00, 30.00",1.2742860317230225
5,2003-01-16 00:00:00,"27.00, 33.00",1.3762708902359009
6,2003-01-16 00:00:00,"24.00, 27.00",1.482557773590088
7,2003-01-16 00:00:00,"24.00, 30.00",1.385362148284912
8,2003-01-16 00:00:00,"24.00, 33.00",1.3730764389038086
9,2003-01-16 00:00:00,"30.00, 27.00",-0.049643732607364655
10,2003-01-16 00:00:00,"30.00, 30.00",-0.05076279118657112
11,2003-01-16 00:00:00,"30.00, 33.00",-0.04762538895010948
12,2003-01-16 00:00:00,"27.00, 27.00",-0.05079355463385582
13,2003-01-16 00:00:00,"27.00, 30.00",-0.05280648544430733
14,2003-01-16 00:00:00,"27.00, 33.00",-0.0735788643360138
15,2003-01-16 00:00:00,"24.00, 27.00",-0.06202181056141853
16,2003-01-16 00:00:00,"24.00, 30.00",-0.06418117135763168
17,2003-01-16 00:00:00,"24.00, 33.00",-0.07483402639627457
18,2003-02-16 00:00:00,"30.00, 27.00",1.0649195909500122
19,2003-02-16 00:00:00,"30.00, 30.00",1.0964279174804688
20,2003-02-16 00:00:00,"30.00, 33.00",1.0577501058578491
21,2003-02-16 00:00:00,"27.00, 27.00",1.2523127794265747
22,2003-02-16 00:00:00,"27.00, 30.00",1.3335380554199219
23,2003-02-16 00:00:00,"27.00, 33.00",1.4992239475250244
24,2003-02-16 00:00:00,"24.00, 27.00",1.5176026821136475
25,2003-02-16 00:00:00,"24.00, 30.00",1.5122206211090088
26,2003-02-16 00:00:00,"24.00, 33.00",1.6047581434249878
27,2003-02-16 00:00:00,"30.00, 27.00",-0.057919640094041824
28,2003-02-16 00:00:00,"30.00, 30.00",-0.06023597717285156
29,2003-02-16 00:00:00,"30.00, 33.00",-0.055440086871385574
30,2003-02-16 00:00:00,"27.00, 27.00",-0.06112589314579964
31,2003-02-16 00:00:00,"27.00, 30.00",-0.06302125006914139
32,2003-02-16 00:00:00,"27.00, 33.00",-0.08771079033613205
33,2003-02-16 00:00:00,"24.00, 27.00",-0.07229150831699371
34,2003-02-16 00:00:00,"24.00, 30.00",-0.0763636976480484
35,2003-02-16 00:00:00,"24.00, 33.00",-0.09015055745840073
36,2003-03-16 00:00:00,"30.00, 27.00",1.084388017654419
37,2003-03-16 00:00:00,"30.00, 30.00",1.1012603044509888
38,2003-03-16 00:00:00,"30.00, 33.00",1.1183481216430664
39,2003-03-16 00:00:00,"27.00, 27.00",1.3417023420333862
40,2003-03-16 00:00:00,"27.00, 30.00",1.4142308235168457
41,2003-03-16 00:00:00,"27.00, 33.00",1.5737383365631104
42,2003-03-16 00:00:00,"24.00, 27.00",1.6232683658599854
43,2003-03-16 00:00:00,"24.00, 30.00",1.5935324430465698
44,2003-03-16 00:00:00,"24.00, 33.00",1.7260358333587646
45,2003-03-16 00:00:00,"30.00, 27.00",-0.06837783008813858
46,2003-03-16 00:00:00,"30.00, 30.00",-0.07180096954107285
47,2003-03-16 00:00:00,"30.00, 33.00",-0.06829120218753815
48,2003-03-16 00:00:00,"27.00, 27.00",-0.07630625367164612
49,2003-03-16 00:00:00,"27.00, 30.00",-0.0776509940624237
50,2003-03-16 00:00:00,"27.00, 33.00",-0.10488153249025345
51,2003-03-16 00:00:00,"24.00, 27.00",-0.08722563832998276
52,2003-03-16 00:00:00,"24.00, 30.00",-0.09066230803728104
53,2003-03-16 00:00:00,"24.00, 33.00",-0.10748586058616638
54,2003-04-16 00:00:00,"30.00, 27.00",1.254487156867981
55,2003-04-16 00:00:00,"30.00, 30.00",1.334228515625
56,2003-04-16 00:00:00,"30.00, 33.00",1.373894214630127
57,2003-04-16 00:00:00,"27.00, 27.00",1.4380106925964355
58,2003-04-16 00:00:00,"27.00, 30.00",1.577642798423767
59,2003-04-16 00:00:00,"27.00, 33.00",1.7258453369140625
60,2003-04-16 00:00:00,"24.00, 27.00",1.62255859375
61,2003-04-16 00:00:00,"24.00, 30.00",1.6907389163970947
62,2003-04-16 00:00:00,"24.00, 33.00",1.838646411895752
63,2003-04-16 00:00:00,"30.00, 27.00",-0.0848846435546875
64,2003-04-16 00:00:00,"30.00, 30.00",-0.09117228537797928
65,2003-04-16 00:00:00,"30.00, 33.00",-0.08796488493680954
66,2003-04-16 00:00:00,"27.00, 27.00",-0.08601125329732895
67,2003-04-16 00:00:00,"27.00, 30.00",-0.08954925835132599
68,2003-04-16 00:00:00,"27.00, 33.00",-0.11829376220703125
69,2003-04-16 00:00:00,"24.00, 27.00",-0.09127197414636612
70,2003-04-16 00:00:00,"24.00, 30.00",-0.09836476296186447
71,2003-04-16 00:00:00,"24.00, 33.00",-0.11764068901538849
72,2003-05-16 00:00:00,"30.00, 27.00",1.4255725145339966
73,2003-05-16 00:00:00,"30.00, 30.00",1.4328869581222534
74,2003-05-16 00:00:00,"30.00, 33.00",1.4349483251571655
75,2003-05-16 00:00:00,"27.00, 27.00",1.4784162044525146
76,2003-05-16 00:00:00,"27.00, 30.00",1.5615391731262207
77,2003-05-16 00:00:00,"27.00, 33.00",1.5749088525772095
78,2003-05-16 00:00:00,"24.00, 27.00",1.5813913345336914
79,2003-05-16 00:00:00,"24.00, 30.00",1.6169384717941284
80,2003-05-16 00:00:00,"24.00, 33.00",1.6582690477371216
81,2003-05-16 00:00:00,"30.00, 27.00",-0.09569475799798965
82,2003-05-16 00:00:00,"30.00, 30.00",-0.10033441334962845
83,2003-05-16 00:00:00,"30.00, 33.00",-0.09177570790052414
84,2003-05-16 00:00:00,"27.00, 27.00",-0.0889902412891388
85,2003-05-16 00:00:00,"27.00, 30.00",-0.08915907144546509
86,2003-05-16 00:00:00,"27.00, 33.00",-0.10441441833972931
87,2003-05-16 00:00:00,"24.00, 27.00",-0.08977582305669785
88,2003-05-16 00:00:00,"24.00, 30.00",-0.09443369507789612
89,2003-05-16 00:00:00,"24.00, 33.00",-0.10448332875967026
90,2003-06-16 00:00:00,"30.00, 27.00",1.2872334718704224
91,2003-06-16 00:00:00,"30.00, 30.00",1.350251317024231
92,2003-06-16 00:00:00,"30.00, 33.00",1.4348480701446533
93,2003-06-16 00:00:00,"27.00, 27.00",1.3862782716751099
94,2003-06-16 00:00:00,"27.00, 30.00",1.5429198741912842
95,2003-06-16 00:00:00,"27.00, 33.00",1.7128549814224243
96,2003-06-16 00:00:00,"24.00, 27.00",1.5325409173965454
97,2003-06-16 00:00:00,"24.00, 30.00",1.6123778820037842
98,2003-06-16 00:00:00,"24.00, 33.00",1.7491964101791382
99,2003-06-16 00:00:00,"30.00, 27.00",-0.09246775507926941
100,2003-06-16 00:00:00,"30.00, 30.00",-0.10286916047334671
101,2003-06-16 00:00:00,"30.00, 33.00",-0.09844105690717697
102,2003-06-16 00:00:00,"27.00, 27.00",-0.08704833686351776
103,2003-06-16 00:00:00,"27.00, 30.00",-0.09141184389591217
104,2003-06-16 00:00:00,"27.00, 33.00",-0.12174174189567566
105,2003-06-16 00:00:00,"24.00, 27.00",-0.09284820407629013
106,2003-06-16 00:00:00,"24.00, 30.00",-0.09939117729663849
107,2003-06-16 00:00:00,"24.00, 33.00",-0.11525268852710724
108,2003-07-16 00:00:00,"30.00, 27.00",1.2643333673477173
109,2003-07-16 00:00:00,"30.00, 30.00",1.2981380224227905
110,2003-07-16 00:00:00,"30.00, 33.00",1.3290247917175293
111,2003-07-16 00:00:00,"27.00, 27.00",1.3478305339813232
112,2003-07-16 00:00:00,"27.00, 30.00",1.4896742105484009
113,2003-07-16 00:00:00,"27.00, 33.00",1.6999521255493164
114,2003-07-16 00:00:00,"24.00, 27.00",1.4768056869506836
115,2003-07-16 00:00:00,"24.00, 30.00",1.5403895378112793
116,2003-07-16 00:00:00,"24.00, 33.00",1.7243120670318604
117,2003-07-16 00:00:00,"30.00, 27.00",-0.09381743520498276
118,2003-07-16 00:00:00,"30.00, 30.00",-0.10450202971696854
119,2003-07-16 00:00:00,"30.00, 33.00",-0.09829022735357285
120,2003-07-16 00:00:00,"27.00, 27.00",-0.0873723179101944
121,2003-07-16 00:00:00,"27.00, 30.00",-0.09153501689434052
122,2003-07-16 00:00:00,"27.00, 33.00",-0.12072458863258362
123,2003-07-16 00:00:00,"24.00, 27.00",-0.09010954946279526
124,2003-07-16 00:00:00,"24.00, 30.00",-0.09659108519554138
125,2003-07-16 00:00:00,"24.00, 33.00",-0.11787267029285431
126,2003-08-16 00:00:00,"30.00, 27.00",1.104718565940857
127,2003-08-16 00:00:00,"30.00, 30.00",1.152489423751831
128,2003-08-16 00:00:00,"30.00, 33.00",1.254547119140625
129,2003-08-16 00:00:00,"27.00, 27.00",1.2400187253952026
130,2003-08-16 00:00:00,"27.00, 30.00",1.380109190940857
131,2003-08-16 00:00:00,"27.00, 33.00",1.5604041814804077
132,2003-08-16 00:00:00,"24.00, 27.00",1.378981113433838
133,2003-08-16 00:00:00,"24.00, 30.00",1.4266347885131836
134,2003-08-16 00:00:00,"24.00, 33.00",1.5591410398483276
135,2003-08-16 00:00:00,"30.00, 27.00",-0.08786158263683319
136,2003-08-16 00:00:00,"30.00, 30.00",-0.09463255107402802
137,2003-08-16 00:00:00,"30.00, 33.00",-0.09160491079092026
138,2003-08-16 00:00:00,"27.00, 27.00",-0.0829010009765625
139,2003-08-16 00:00:00,"27.00, 30.00",-0.08481573313474655
140,2003-08-16 00:00:00,"27.00, 33.00",-0.10883110016584396
141,2003-08-16 00:00:00,"24.00, 27.00",-0.08352070301771164
142,2003-08-16 00:00:00,"24.00, 30.00",-0.08812344819307327
143,2003-08-16 00:00:00,"24.00, 33.00",-0.10440506786108017
144,2003-09-16 00:00:00,"30.00, 27.00",1.027288794517517
145,2003-09-16 00:00:00,"30.00, 30.00",1.0741373300552368
146,2003-09-16 00:00:00,"30.00, 33.00",1.1023081541061401
147,2003-09-16 00:00:00,"27.00, 27.00",1.1679219007492065
148,2003-09-16 00:00:00,"27.00, 30.00",1.342039942741394
149,2003-09-16 00:00:00,"27.00, 33.00",1.5893371105194092
150,2003-09-16 00:00:00,"24.00, 27.00",1.4132874011993408
151,2003-09-16 00:00:00,"24.00, 30.00",1.450629711151123
152,2003-09-16 00:00:00,"24.00, 33.00",1.5639424324035645
153,2003-09-16 00:00:00,"30.00, 27.00",-0.07667439430952072
154,2003-09-16 00:00:00,"30.00, 30.00",-0.08275298774242401
155,2003-09-16 00:00:00,"30.00, 33.00",-0.08053690940141678
156,2003-09-16 00:00:00,"27.00, 27.00",-0.07297973334789276
157,2003-09-16 00:00:00,"27.00, 30.00",-0.07698109745979309
158,2003-09-16 00:00:00,"27.00, 33.00",-0.10578155517578125
159,2003-09-16 00:00:00,"24.00, 27.00",-0.07817637175321579
160,2003-09-16 00:00:00,"24.00, 30.00",-0.08247324824333191
161,2003-09-16 00:00:00,"24.00, 33.00",-0.0963592529296875
162,2003-10-16 00:00:00,"30.00, 27.00",1.0213879346847534
163,2003-10-16 00:00:00,"30.00, 30.00",1.0305274724960327
164,2003-10-16 00:00:00,"30.00, 33.00",0.9596577286720276
165,2003-10-16 00:00:00,"27.00, 27.00",1.1473890542984009
166,2003-10-16 00:00:00,"27.00, 30.00",1.2538403272628784
167,2003-10-16 00:00:00,"27.00, 33.00",1.4463096857070923
168,2003-10-16 00:00:00,"24.00, 27.00",1.3290483951568604
