,Время,"Координаты Египта (широта, долгота)",Радиационное воздействие метана (Вт/м²)
0,2003-01-16 00:00:00,"30.00, 27.00",0.34345367550849915
1,2003-01-16 00:00:00,"30.00, 30.00",0.35115593671798706
2,2003-01-16 00:00:00,"30.00, 33.00",0.33150458335876465
3,2003-01-16 00:00:00,"27.00, 27.00",0.3854084610939026
4,2003-01-16 00:00:00,"27.00, 30.00",0.3989730477333069
5,2003-01-16 00:00:00,"27.00, 33.00",0.40216851234436035
6,2003-01-16 00:00:00,"24.00, 27.00",0.45423051714897156
7,2003-01-16 00:00:00,"24.00, 30.00",0.41939815878868103
8,2003-01-16 00:00:00,"24.00, 33.00",0.39199337363243103
9,2003-01-16 00:00:00,"30.00, 27.00",-0.10050226002931595
10,2003-01-16 00:00:00,"30.00, 30.00",-0.10332045704126358
11,2003-01-16 00:00:00,"30.00, 33.00",-0.09639789164066315
12,2003-01-16 00:00:00,"27.00, 27.00",-0.09834633767604828
13,2003-01-16 00:00:00,"27.00, 30.00",-0.10170253366231918
14,2003-01-16 00:00:00,"27.00, 33.00",-0.1413281410932541
15,2003-01-16 00:00:00,"24.00, 27.00",-0.11642800271511078
16,2003-01-16 00:00:00,"24.00, 30.00",-0.11935277283191681
17,2003-01-16 00:00:00,"24.00, 33.00",-0.13658855855464935
18,2003-02-16 00:00:00,"30.00, 27.00",0.31971850991249084
19,2003-02-16 00:00:00,"30.00, 30.00",0.3291255533695221
20,2003-02-16 00:00:00,"30.00, 33.00",0.3094940185546875
21,2003-02-16 00:00:00,"27.00, 27.00",0.3827694356441498
22,2003-02-16 00:00:00,"27.00, 30.00",0.4034886956214905
23,2003-02-16 00:00:00,"27.00, 33.00",0.42894691228866577
24,2003-02-16 00:00:00,"24.00, 27.00",0.4466569125652313
25,2003-02-16 00:00:00,"24.00, 30.00",0.44872012734413147
26,2003-02-16 00:00:00,"24.00, 33.00",0.46517235040664673
27,2003-02-16 00:00:00,"30.00, 27.00",-0.11431094259023666
28,2003-02-16 00:00:00,"30.00, 30.00",-0.11844907701015472
29,2003-02-16 00:00:00,"30.00, 33.00",-0.10862486809492111
30,2003-02-16 00:00:00,"27.00, 27.00",-0.11597715318202972
31,2003-02-16 00:00:00,"27.00, 30.00",-0.11900711059570312
32,2003-02-16 00:00:00,"27.00, 33.00",-0.16568101942539215
33,2003-02-16 00:00:00,"24.00, 27.00",-0.13360349833965302
34,2003-02-16 00:00:00,"24.00, 30.00",-0.14216531813144684
35,2003-02-16 00:00:00,"24.00, 33.00",-0.16749845445156097
36,2003-03-16 00:00:00,"30.00, 27.00",0.31358781456947327
37,2003-03-16 00:00:00,"30.00, 30.00",0.31984785199165344
38,2003-03-16 00:00:00,"30.00, 33.00",0.3099207580089569
39,2003-03-16 00:00:00,"27.00, 27.00",0.39840009808540344
40,2003-03-16 00:00:00,"27.00, 30.00",0.4161396622657776
41,2003-03-16 00:00:00,"27.00, 33.00",0.4368463456630707
42,2003-03-16 00:00:00,"24.00, 27.00",0.4710555672645569
43,2003-03-16 00:00:00,"24.00, 30.00",0.466888427734375
44,2003-03-16 00:00:00,"24.00, 33.00",0.49222490191459656
45,2003-03-16 00:00:00,"30.00, 27.00",-0.12767373025417328
46,2003-03-16 00:00:00,"30.00, 30.00",-0.13410285115242004
47,2003-03-16 00:00:00,"30.00, 33.00",-0.1269208788871765
48,2003-03-16 00:00:00,"27.00, 27.00",-0.1381535679101944
49,2003-03-16 00:00:00,"27.00, 30.00",-0.1398015171289444
50,2003-03-16 00:00:00,"27.00, 33.00",-0.18929611146450043
51,2003-03-16 00:00:00,"24.00, 27.00",-0.15287387371063232
52,2003-03-16 00:00:00,"24.00, 30.00",-0.16001400351524353
53,2003-03-16 00:00:00,"24.00, 33.00",-0.19014468789100647
54,2003-04-16 00:00:00,"30.00, 27.00",0.3521830141544342
55,2003-04-16 00:00:00,"30.00, 30.00",0.3758178651332855
56,2003-04-16 00:00:00,"30.00, 33.00",0.37853291630744934
57,2003-04-16 00:00:00,"27.00, 27.00",0.4293884336948395
58,2003-04-16 00:00:00,"27.00, 30.00",0.47550761699676514
59,2003-04-16 00:00:00,"27.00, 33.00",0.4808512330055237
60,2003-04-16 00:00:00,"24.00, 27.00",0.4855234920978546
61,2003-04-16 00:00:00,"24.00, 30.00",0.5091664791107178
62,2003-04-16 00:00:00,"24.00, 33.00",0.5277760624885559
63,2003-04-16 00:00:00,"30.00, 27.00",-0.14769643545150757
64,2003-04-16 00:00:00,"30.00, 30.00",-0.1599782258272171
65,2003-04-16 00:00:00,"30.00, 33.00",-0.15388794243335724
66,2003-04-16 00:00:00,"27.00, 27.00",-0.14741668105125427
67,2003-04-16 00:00:00,"27.00, 30.00",-0.1539606750011444
68,2003-04-16 00:00:00,"27.00, 33.00",-0.20400339365005493
69,2003-04-16 00:00:00,"24.00, 27.00",-0.15537261962890625
70,2003-04-16 00:00:00,"24.00, 30.00",-0.16809387505054474
71,2003-04-16 00:00:00,"24.00, 33.00",-0.200114443898201
72,2003-05-16 00:00:00,"30.00, 27.00",0.37524905800819397
73,2003-05-16 00:00:00,"30.00, 30.00",0.380584716796875
74,2003-05-16 00:00:00,"30.00, 33.00",0.3730340898036957
75,2003-05-16 00:00:00,"27.00, 27.00",0.4330158829689026
76,2003-05-16 00:00:00,"27.00, 30.00",0.45528092980384827
77,2003-05-16 00:00:00,"27.00, 33.00",0.4205597937107086
78,2003-05-16 00:00:00,"24.00, 27.00",0.4644736051559448
79,2003-05-16 00:00:00,"24.00, 30.00",0.4722408056259155
