,Время,"Координаты Судана (широта, долгота)",Радиационное воздействие аэрозолей с излучением
0,2003-01-16 00:00:00,"21.00, 24.00",0.3238082528114319
1,2003-01-16 00:00:00,"21.00, 27.00",0.4974690079689026
2,2003-01-16 00:00:00,"21.00, 30.00",0.6540438532829285
3,2003-01-16 00:00:00,"21.00, 33.00",0.5405362248420715
4,2003-01-16 00:00:00,"21.00, 36.00",0.3520803153514862
5,2003-01-16 00:00:00,"18.00, 24.00",0.3198399841785431
6,2003-01-16 00:00:00,"18.00, 27.00",0.4504414200782776
7,2003-01-16 00:00:00,"18.00, 30.00",0.4239334464073181
8,2003-01-16 00:00:00,"18.00, 33.00",0.3928970694541931
9,2003-01-16 00:00:00,"18.00, 36.00",0.32680684328079224
10,2003-01-16 00:00:00,"15.00, 24.00",0.24316750466823578
11,2003-01-16 00:00:00,"15.00, 27.00",0.2594899833202362
12,2003-01-16 00:00:00,"15.00, 30.00",0.1992177665233612
13,2003-01-16 00:00:00,"15.00, 33.00",0.3110174238681793
14,2003-01-16 00:00:00,"15.00, 36.00",0.23958562314510345
15,2003-01-16 00:00:00,"12.00, 24.00",0.09456806629896164
16,2003-01-16 00:00:00,"12.00, 27.00",0.1442398577928543
17,2003-01-16 00:00:00,"12.00, 30.00",0.1329050362110138
18,2003-01-16 00:00:00,"12.00, 33.00",0.21453069150447845
19,2003-01-16 00:00:00,"12.00, 36.00",0.13472722470760345
20,2003-01-16 00:00:00,"9.00, 24.00",0.046152424067258835
21,2003-01-16 00:00:00,"9.00, 27.00",0.06931920349597931
22,2003-01-16 00:00:00,"9.00, 30.00",0.06336630880832672
23,2003-01-16 00:00:00,"9.00, 33.00",0.04595947265625
24,2003-01-16 00:00:00,"9.00, 36.00",0.0974130928516388
25,2003-01-16 00:00:00,"21.00, 24.00",-1.3832200765609741
26,2003-01-16 00:00:00,"21.00, 27.00",-1.803727626800537
27,2003-01-16 00:00:00,"21.00, 30.00",-2.693218946456909
28,2003-01-16 00:00:00,"21.00, 33.00",-2.7335526943206787
