,Время,"Координаты Судана (широта, долгота)",Радиационное воздействие углекислого газа
0,2003-01-16 00:00:00,"21.00, 24.00",1.599652647972107
1,2003-01-16 00:00:00,"21.00, 27.00",1.4930956363677979
2,2003-01-16 00:00:00,"21.00, 30.00",1.4458627700805664
3,2003-01-16 00:00:00,"21.00, 33.00",1.4705801010131836
4,2003-01-16 00:00:00,"21.00, 36.00",1.2425320148468018
5,2003-01-16 00:00:00,"18.00, 24.00",1.6140943765640259
6,2003-01-16 00:00:00,"18.00, 27.00",1.5442169904708862
7,2003-01-16 00:00:00,"18.00, 30.00",1.498945713043213
8,2003-01-16 00:00:00,"18.00, 33.00",1.5527530908584595
9,2003-01-16 00:00:00,"18.00, 36.00",1.3562779426574707
10,2003-01-16 00:00:00,"15.00, 24.00",1.7813695669174194
11,2003-01-16 00:00:00,"15.00, 27.00",1.6685594320297241
12,2003-01-16 00:00:00,"15.00, 30.00",1.5982892513275146
13,2003-01-16 00:00:00,"15.00, 33.00",1.578477382659912
14,2003-01-16 00:00:00,"15.00, 36.00",1.4315500259399414
15,2003-01-16 00:00:00,"12.00, 24.00",1.8127450942993164
16,2003-01-16 00:00:00,"12.00, 27.00",1.709851622581482
17,2003-01-16 00:00:00,"12.00, 30.00",1.5959384441375732
18,2003-01-16 00:00:00,"12.00, 33.00",1.4662269353866577
19,2003-01-16 00:00:00,"12.00, 36.00",1.264635682106018
20,2003-01-16 00:00:00,"9.00, 24.00",1.6122771501541138
21,2003-01-16 00:00:00,"9.00, 27.00",1.6103023290634155
22,2003-01-16 00:00:00,"9.00, 30.00",1.4209574460983276
23,2003-01-16 00:00:00,"9.00, 33.00",1.368485927581787
24,2003-01-16 00:00:00,"9.00, 36.00",1.0675560235977173
25,2003-01-16 00:00:00,"21.00, 24.00",-0.06913486868143082
26,2003-01-16 00:00:00,"21.00, 27.00",-0.06468471139669418
27,2003-01-16 00:00:00,"21.00, 30.00",-0.06925226002931595
28,2003-01-16 00:00:00,"21.00, 33.00",-0.0746922641992569
29,2003-01-16 00:00:00,"21.00, 36.00",-0.07982463389635086
30,2003-01-16 00:00:00,"18.00, 24.00",-0.07261854410171509
31,2003-01-16 00:00:00,"18.00, 27.00",-0.07317622750997543
32,2003-01-16 00:00:00,"18.00, 30.00",-0.07231386005878448
33,2003-01-16 00:00:00,"18.00, 33.00",-0.08194560557603836
34,2003-01-16 00:00:00,"18.00, 36.00",-0.08388838917016983
35,2003-01-16 00:00:00,"15.00, 24.00",-0.09115009754896164
36,2003-01-16 00:00:00,"15.00, 27.00",-0.09172402322292328
37,2003-01-16 00:00:00,"15.00, 30.00",-0.0842595249414444
